Method 1,Method 2,Method 3,Method 4,Method 5,Method 6
6.9141387939453125e-06,1.2159347534179688e-05,2.6941299438476562e-05,2.288818359375e-05,2.4080276489257812e-05,2.002716064453125e-05
6.9141387939453125e-06,1.1920928955078125e-05,2.6941299438476562e-05,2.3126602172851562e-05,2.4080276489257812e-05,2.09808349609375e-05
6.9141387939453125e-06,1.2159347534179688e-05,2.6941299438476562e-05,2.193450927734375e-05,2.4080276489257812e-05,2.09808349609375e-05
6.9141387939453125e-06,1.1920928955078125e-05,2.6941299438476562e-05,2.288818359375e-05,2.5033950805664062e-05,2.09808349609375e-05
5.9604644775390625e-06,1.3113021850585938e-05,2.6702880859375e-05,2.4080276489257812e-05,2.5272369384765625e-05,2.09808349609375e-05
5.9604644775390625e-06,1.3113021850585938e-05,2.6941299438476562e-05,2.3126602172851562e-05,2.5033950805664062e-05,2.09808349609375e-05
7.152557373046875e-06,1.1920928955078125e-05,2.7894973754882812e-05,2.288818359375e-05,2.5033950805664062e-05,2.193450927734375e-05
5.9604644775390625e-06,1.1920928955078125e-05,2.8133392333984375e-05,2.288818359375e-05,2.5272369384765625e-05,2.193450927734375e-05
6.9141387939453125e-06,1.2159347534179688e-05,2.7894973754882812e-05,2.384185791015625e-05,2.5987625122070312e-05,2.193450927734375e-05
6.198883056640625e-06,1.2874603271484375e-05,2.9087066650390625e-05,2.384185791015625e-05,2.5987625122070312e-05,2.193450927734375e-05
5.7220458984375e-06,1.2874603271484375e-05,2.9087066650390625e-05,2.5033950805664062e-05,2.574920654296875e-05,2.3126602172851562e-05
6.9141387939453125e-06,1.2874603271484375e-05,2.9087066650390625e-05,2.5033950805664062e-05,2.6941299438476562e-05,2.288818359375e-05
6.198883056640625e-06,1.2636184692382812e-05,2.8848648071289062e-05,2.5987625122070312e-05,2.6226043701171875e-05,2.288818359375e-05
8.106231689453125e-06,1.4066696166992188e-05,2.9802322387695312e-05,2.6226043701171875e-05,2.6941299438476562e-05,2.4080276489257812e-05
7.867813110351562e-06,1.430511474609375e-05,2.9802322387695312e-05,2.6226043701171875e-05,2.6702880859375e-05,2.288818359375e-05
8.106231689453125e-06,1.2874603271484375e-05,3.0994415283203125e-05,2.5987625122070312e-05,2.6941299438476562e-05,2.2649765014648438e-05
7.152557373046875e-06,1.5020370483398438e-05,3.075599670410156e-05,2.6226043701171875e-05,2.8848648071289062e-05,2.4080276489257812e-05
7.867813110351562e-06,1.4066696166992188e-05,3.0994415283203125e-05,2.6941299438476562e-05,2.7894973754882812e-05,2.5033950805664062e-05
7.867813110351562e-06,1.4066696166992188e-05,3.0994415283203125e-05,2.6941299438476562e-05,2.9087066650390625e-05,2.384185791015625e-05
7.152557373046875e-06,1.4781951904296875e-05,3.0994415283203125e-05,2.7179718017578125e-05,2.7894973754882812e-05,2.5272369384765625e-05
8.106231689453125e-06,1.3828277587890625e-05,3.218650817871094e-05,2.8133392333984375e-05,2.8848648071289062e-05,2.5033950805664062e-05
7.152557373046875e-06,1.4781951904296875e-05,3.1948089599609375e-05,2.8133392333984375e-05,2.9087066650390625e-05,2.5033950805664062e-05
6.9141387939453125e-06,1.4066696166992188e-05,3.170967102050781e-05,2.7179718017578125e-05,2.9087066650390625e-05,2.5987625122070312e-05
6.9141387939453125e-06,1.3828277587890625e-05,3.2901763916015625e-05,2.8371810913085938e-05,2.9802322387695312e-05,2.6226043701171875e-05
7.152557373046875e-06,1.3828277587890625e-05,3.2901763916015625e-05,2.8848648071289062e-05,3.0279159545898438e-05,2.5987625122070312e-05
6.9141387939453125e-06,1.5020370483398438e-05,3.314018249511719e-05,2.7894973754882812e-05,3.0040740966796875e-05,2.5987625122070312e-05
6.9141387939453125e-06,1.4066696166992188e-05,3.266334533691406e-05,2.9325485229492188e-05,3.2901763916015625e-05,2.5987625122070312e-05
6.9141387939453125e-06,1.5020370483398438e-05,3.409385681152344e-05,2.9087066650390625e-05,3.0994415283203125e-05,2.5987625122070312e-05
8.106231689453125e-06,1.5020370483398438e-05,3.409385681152344e-05,2.8848648071289062e-05,3.0994415283203125e-05,2.6226043701171875e-05
7.867813110351562e-06,1.4781951904296875e-05,3.409385681152344e-05,2.9087066650390625e-05,3.0994415283203125e-05,2.6226043701171875e-05
8.106231689453125e-06,1.4781951904296875e-05,3.504753112792969e-05,2.9087066650390625e-05,3.0994415283203125e-05,2.7179718017578125e-05
8.106231689453125e-06,1.4781951904296875e-05,3.504753112792969e-05,3.0040740966796875e-05,3.1948089599609375e-05,2.7179718017578125e-05
8.106231689453125e-06,1.5974044799804688e-05,3.504753112792969e-05,2.9802322387695312e-05,3.218650817871094e-05,2.7179718017578125e-05
8.344650268554688e-06,1.5735626220703125e-05,3.62396240234375e-05,2.9802322387695312e-05,3.1948089599609375e-05,2.8133392333984375e-05
7.867813110351562e-06,1.621246337890625e-05,3.5762786865234375e-05,3.0994415283203125e-05,3.24249267578125e-05,2.7894973754882812e-05
7.867813110351562e-06,1.5735626220703125e-05,3.62396240234375e-05,3.0994415283203125e-05,3.2901763916015625e-05,2.7894973754882812e-05
8.821487426757812e-06,1.8358230590820312e-05,3.5762786865234375e-05,3.0994415283203125e-05,3.314018249511719e-05,2.8848648071289062e-05
8.821487426757812e-06,1.621246337890625e-05,3.6716461181640625e-05,3.123283386230469e-05,3.3855438232421875e-05,2.8133392333984375e-05
8.106231689453125e-06,1.6927719116210938e-05,3.719329833984375e-05,3.0994415283203125e-05,3.409385681152344e-05,2.8848648071289062e-05
7.867813110351562e-06,1.5974044799804688e-05,3.814697265625e-05,3.1948089599609375e-05,3.314018249511719e-05,2.8848648071289062e-05
7.867813110351562e-06,1.6927719116210938e-05,3.814697265625e-05,3.0994415283203125e-05,3.409385681152344e-05,2.8848648071289062e-05
7.867813110351562e-06,1.5974044799804688e-05,3.719329833984375e-05,3.314018249511719e-05,3.361701965332031e-05,2.9325485229492188e-05
8.344650268554688e-06,1.5735626220703125e-05,3.814697265625e-05,3.266334533691406e-05,3.409385681152344e-05,3.0040740966796875e-05
9.059906005859375e-06,1.71661376953125e-05,3.886222839355469e-05,3.314018249511719e-05,3.504753112792969e-05,2.9802322387695312e-05
